id,short_desc,long_desc,exits,lit
115,YOU'RE AT NE END.,"YOU ARE AT THE NORTHEAST END OF AN IMMENSE ROOM, EVEN LARGER THAN THE GIANT ROOM.  IT APPEARS TO BE A REPOSITORY FOR THE ""ADVENTURE"" PROGRAM.  MASSIVE TORCHES FAR OVERHEAD BATHE THE ROOM WITH SMOKY YELLOW LIGHT.  SCATTERED ABOUT YOU CAN BE SEEN A PILE OF BOTTLES (ALL OF THEM EMPTY), A NURSERY OF YOUNG BEANSTALKS MURMURING QUIETLY, A BED OF OYSTERS, A BUNDLE OF BLACK RODS WITH RUSTY STARS ON THEIR ENDS, AND A COLLECTION OF BRASS LANTERNS.  OFF TO ONE SIDE A GREAT MANY DWARVES ARE SLEEPING ON THE FLOOR, SNORING LOUDLY.  A SIGN NEARBY READS: ""DO NOT DISTURB THE DWARVES!""  AN IMMENSE MIRROR IS HANGING AGAINST ONE WALL, AND STRETCHES TO THE OTHER END OF THE ROOM, WHERE VARIOUS OTHER SUNDRY OBJECTS CAN BE GLIMPSED DIMLY IN THE DISTANCE.",SW:116,TRUE
116,YOU'RE AT SW END.,"YOU ARE AT THE SOUTHWEST END OF THE REPOSITORY.  TO ONE SIDE IS A PIT FULL OF FIERCE GREEN SNAKES.  ON THE OTHER SIDE IS A ROW OF SMALL WICKER CAGES, EACH OF WHICH CONTAINS A LITTLE SULKING BIRD.  IN ONE CORNER IS A BUNDLE OF BLACK RODS WITH RUSTY MARKS ON THEIR ENDS.  A LARGE NUMBER OF VELVET PILLOWS ARE SCATTERED ABOUT ON THE FLOOR.  A VAST MIRROR STRETCHES OFF TO THE NORTHEAST.  AT YOUR FEET IS A LARGE STEEL GRATE, NEXT TO WHICH IS A SIGN WHICH READS, ""TREASURE VAULT. KEYS IN MAIN OFFICE.""",NE:115,TRUE
117,YOU'RE ON SW SIDE OF CHASM.,"YOU ARE ON ONE SIDE OF A LARGE, DEEP CHASM.  A HEAVY WHITE MIST RISING UP FROM BELOW OBSCURES ALL VIEW OF THE FAR SIDE.  A SW PATH LEADS AWAY FROM THE CHASM INTO A WINDING CORRIDOR.",SW:118,FALSE
118,YOU'RE IN SLOPING CORRIDOR.,YOU ARE IN A LONG WINDING CORRIDOR SLOPING OUT OF SIGHT IN BOTH DIRECTIONS.,DOWN:72|UP:117,FALSE
119,YOU ARE IN A SECRET CANYON WHICH EXITS TO THE NORTH AND EAST...,YOU ARE IN A SECRET CANYON WHICH EXITS TO THE NORTH AND EAST.,NORTH:69,FALSE
120,YOU ARE IN A SECRET CANYON WHICH EXITS TO THE NORTH AND EAST...,YOU ARE IN A SECRET CANYON WHICH EXITS TO THE NORTH AND EAST.,EAST:74|NORTH:69,FALSE
121,YOU ARE IN A SECRET CANYON WHICH EXITS TO THE NORTH AND EAST...,YOU ARE IN A SECRET CANYON WHICH EXITS TO THE NORTH AND EAST.,EAST:74,FALSE
122,YOU'RE ON NE SIDE OF CHASM.,YOU ARE ON THE FAR SIDE OF THE CHASM.  A NE PATH LEADS AWAY FROM THE CHASM ON THIS SIDE.,NE:123,FALSE
123,YOU'RE IN CORRIDOR.,YOU'RE IN A LONG EAST/WEST CORRIDOR.  A FAINT RUMBLING NOISE CAN BE HEARD IN THE DISTANCE.,EAST:124|WEST:122,FALSE
124,YOU'RE AT FORK IN PATH.,THE PATH FORKS HERE.  THE LEFT FORK LEADS NORTHEAST.  A DULL RUMBLING SEEMS TO GET LOUDER IN THAT DIRECTION.\n\nTHE RIGHT FORK LEADS SOUTHEAST DOWN A GENTLE SLOPE.  THE MAIN CORRIDOR ENTERS FROM THE WEST.,NE:125|SE:128|WEST:123,FALSE
125,YOU'RE AT JUNCTION WITH WARM WALLS.,"THE WALLS ARE QUITE WARM HERE.\n\nFROM THE NORTH CAN BE HEARD A STEADY ROAR, SO LOUD THAT THE ENTIRE CAVE SEEMS TO BE TREMBLING.  ANOTHER PASSAGE LEADS SOUTH, AND A LOW CRAWL GOES EAST.",EAST:127|NORTH:126|SOUTH:124,FALSE
126,YOU'RE AT BREATH-TAKING VIEW.,"YOU ARE ON THE EDGE OF A BREATH-TAKING VIEW.  FAR BELOW YOU IS AN ACTIVE VOLCANO, FROM WHICH GREAT GOUTS OF MOLTEN LAVA COME SURGING OUT, CASCADING BACK DOWN INTO THE DEPTHS.  THE GLOWING ROCK FILLS THE FARTHEST REACHES OF THE CAVERN WITH A BLOOD-RED GLARE, GIVING EVERY- THING AN EERIE, MACABRE APPEARANCE.  THE AIR IS FILLED WITH FLICKERING SPARKS OF ASH AND A HEAVY SMELL OF BRIMSTONE.  THE WALLS ARE HOT TO THE TOUCH, AND THE THUNDERING OF THE VOLCANO DROWNS OUT ALL OTHER SOUNDS.  EMBEDDED IN THE JAGGED ROOF FAR OVERHEAD ARE MYRIAD TWISTED FORMATIONS COMPOSED OF PURE WHITE ALABASTER, WHICH SCATTER THE MURKY LIGHT INTO SINISTER APPARITIONS UPON THE WALLS.  TO ONE SIDE IS A DEEP GORGE, FILLED WITH A BIZARRE CHAOS OF TORTURED ROCK WHICH SEEMS TO HAVE BEEN CRAFTED BY THE DEVIL HIMSELF.  AN IMMENSE RIVER OF FIRE CRASHES OUT FROM THE DEPTHS OF THE VOLCANO, BURNS ITS WAY THROUGH THE GORGE, AND PLUMMETS INTO A BOTTOMLESS PIT FAR OFF TO YOUR LEFT.  TO THE RIGHT, AN IMMENSE GEYSER OF BLISTERING STEAM ERUPTS CONTINUOUSLY FROM A BARREN ISLAND IN THE CENTER OF A SULFUROUS LAKE, WHICH BUBBLES OMINOUSLY.  THE FAR RIGHT WALL IS AFLAME WITH AN INCANDESCENCE OF ITS OWN, WHICH LENDS AN ADDITIONAL INFERNAL SPLENDOR TO THE ALREADY HELLISH SCENE.\n\nA DARK, FOREBODING PASSAGE EXITS TO THE SOUTH.",SOUTH:125,TRUE
127,YOU'RE IN CHAMBER OF BOULDERS.,"YOU ARE IN A SMALL CHAMBER FILLED WITH LARGE BOULDERS.\n\nTHE WALLS ARE VERY WARM, CAUSING THE AIR IN THE ROOM TO BE ALMOST STIFLING FROM THE HEAT.  THE ONLY EXIT IS A CRAWL HEADING WEST, THROUGH WHICH IS COMING A LOW RUMBLING.",WEST:125,FALSE
128,YOU'RE IN LIMESTONE PASSAGE.,YOU ARE WALKING ALONG A GENTLY SLOPING NORTH/SOUTH PASSAGE LINED WITH ODDLY SHAPED LIMESTONE FORMATIONS.,NORTH:124|SOUTH:129,FALSE
129,YOU'RE IN FRONT OF BARREN ROOM.,"YOU ARE STANDING AT THE ENTRANCE TO A LARGE, BARREN ROOM.  A SIGN POSTED ABOVE THE ENTRANCE READS:  ""CAUTION!  BEAR IN ROOM!""",EAST:130|WEST:128,FALSE
130,YOU'RE IN BARREN ROOM.,YOU ARE INSIDE A BARREN ROOM.  THE CENTER OF THE ROOM IS COMPLETELY EMPTY EXCEPT FOR SOME DUST.  MARKS IN THE DUST LEAD AWAY TOWARD THE FAR END OF THE ROOM.  THE ONLY EXIT IS THE WAY YOU CAME IN.,WEST:129,FALSE
131,"YOU ARE IN A MAZE OF TWISTING LITTLE PASSAGES, ALL DIFFERENT...","YOU ARE IN A MAZE OF TWISTING LITTLE PASSAGES, ALL DIFFERENT.",DOWN:137|EAST:112|NE:135|NORTH:138|NW:133|SE:132|SOUTH:139|SW:134|UP:136|WEST:107,FALSE
132,"YOU ARE IN A LITTLE MAZE OF TWISTY PASSAGES, ALL DIFFERENT....","YOU ARE IN A LITTLE MAZE OF TWISTY PASSAGES, ALL DIFFERENT.",DOWN:139|EAST:138|NE:137|NORTH:133|NW:107|SE:112|SOUTH:134|SW:136|UP:131|WEST:135,FALSE
133,"YOU ARE IN A TWISTING MAZE OF LITTLE PASSAGES, ALL DIFFERENT...","YOU ARE IN A TWISTING MAZE OF LITTLE PASSAGES, ALL DIFFERENT.",DOWN:131|EAST:136|NE:134|NORTH:137|NW:138|SE:139|SOUTH:112|SW:135|UP:107|WEST:132,FALSE
134,"YOU ARE IN A TWISTING LITTLE MAZE OF PASSAGES, ALL DIFFERENT...","YOU ARE IN A TWISTING LITTLE MAZE OF PASSAGES, ALL DIFFERENT.",DOWN:136|EAST:135|NE:107|NORTH:131|NW:132|SE:133|SOUTH:137|SW:112|UP:138|WEST:139,FALSE
135,"YOU ARE IN A TWISTY LITTLE MAZE OF PASSAGES, ALL DIFFERENT....","YOU ARE IN A TWISTY LITTLE MAZE OF PASSAGES, ALL DIFFERENT.",DOWN:132|EAST:134|NE:138|NORTH:107|NW:139|SE:131|SOUTH:133|SW:137|UP:112|WEST:136,FALSE
136,"YOU ARE IN A TWISTY MAZE OF LITTLE PASSAGES, ALL DIFFERENT....","YOU ARE IN A TWISTY MAZE OF LITTLE PASSAGES, ALL DIFFERENT.",DOWN:134|EAST:107|NE:139|NORTH:112|NW:137|SE:138|SOUTH:135|SW:133|UP:132|WEST:131,FALSE
137,"YOU ARE IN A LITTLE TWISTY MAZE OF PASSAGES, ALL DIFFERENT....","YOU ARE IN A LITTLE TWISTY MAZE OF PASSAGES, ALL DIFFERENT.",DOWN:133|EAST:139|NE:131|NORTH:136|NW:135|SE:107|SOUTH:132|SW:138|UP:134|WEST:112,FALSE
138,"YOU ARE IN A MAZE OF LITTLE TWISTING PASSAGES, ALL DIFFERENT...","YOU ARE IN A MAZE OF LITTLE TWISTING PASSAGES, ALL DIFFERENT.",DOWN:107|EAST:131|NE:132|NORTH:135|NW:112|SE:137|SOUTH:136|SW:139|UP:133|WEST:134,FALSE
139,"YOU ARE IN A MAZE OF LITTLE TWISTY PASSAGES, ALL DIFFERENT....","YOU ARE IN A MAZE OF LITTLE TWISTY PASSAGES, ALL DIFFERENT.",DOWN:135|EAST:132|NE:112|NORTH:134|NW:131|SE:136|SOUTH:138|SW:107|UP:137|WEST:133,FALSE
140,DEAD END...,DEAD END,NORTH:112,FALSE
